run_id	experiment_id	subexperiment_index	name	date	status	removed	reason_for_removal	family	train_sortino	train_sharpe	train_calmar	train_annual_return	train_annual_volatility	train_max_drawdown	train_total_return	train_days	validation_sortino	validation_sharpe	validation_calmar	validation_annual_return	validation_annual_volatility	validation_max_drawdown	validation_total_return	validation_days
1	0	1	spy_benchmark	2026-03-27	baseline	FALSE		Other / miscellaneous	0.641	0.541	0.160427807486631	0.09	0.167	-0.561		2516.0	0.778	0.709	0.4074074074074070	0.143	0.202	-0.351	0.951	1258.0
2	1	1	cross_sectional_momentum	2026-03-27	failed	FALSE		Factor / production tuning	0.03	0.021	0.013245033112582800	0.01	0.474	-0.755	0.178	2516.0								1258.0
3	2	1	lgbm_long_only	2026-03-27	failed	FALSE		ML / transformer								2516.0	0.602							1258.0
4	3	1	vol_target_ew	2026-03-27	success	TRUE	buggy_backtest	Factor / production tuning								2516.0	1.066		0.5641025641025640	0.088	0.117	-0.156		1258.0
5	4	1	vol_target_with_costs	2026-03-27	success	TRUE	buggy_backtest	Factor / production tuning								2516.0	0.908							1258.0
6	5	1	trend_filter	2026-03-27	success	TRUE	buggy_backtest	Factor / production tuning								2516.0	1.323							1258.0
7	6	1	invvol_weighting	2026-03-27	success	TRUE	buggy_backtest	Factor / production tuning								2516.0	0.933							1258.0
8	7	1	combined_best	2026-03-27	success	TRUE	buggy_backtest	Factor / production tuning								2516.0	0.944							1258.0
9	8	1	ml_tilt	2026-03-27	failed	TRUE	buggy_backtest	ML / transformer								2516.0	0.822							1258.0
10	9	1	robustness	2026-03-27	partial	TRUE	buggy_backtest	Other / miscellaneous								2516.0								1258.0
11	10	1	data_cleaning	2026-03-27	partial	TRUE	buggy_backtest	Other / miscellaneous								2516.0								1258.0
12	11	1	corrected_backtest	2026-03-28	success	FALSE		Factor / production tuning								2516.0	1.058	0.775	0.6981981981981980	0.155	0.2	-0.222		1258.0
13	12	1	walk_forward_realistic_costs	2026-03-28	success	FALSE		Factor / production tuning								2516.0	0.77		0.39453125	0.101		-0.256		1258.0
14	13	1	alpha_research	2026-03-28	success	FALSE		Intraday / composite								2516.0	1.693			0.153		-0.087		1258.0
17	16	1	validation_2020_2025	2026-03-28	completed	FALSE		ML / transformer								2516.0	1.074	0.873	0.575	0.198	0.226	-0.344	1.459	1258.0
18	17	1	walkforward_retrain	2026-03-29	completed	FALSE		ML / transformer								2516.0	0.623	0.501	0.4	0.094	0.188	-0.274	0.566	1258.0
19	18	1	portfolio_construction	2026-03-29	completed	FALSE		Factor / production tuning								2516.0	1.084		0.6167664670658680	0.206		-0.334	1.543	1258.0
20	19	1	ensemble_5_seeds	2026-03-29	completed	FALSE		ML / transformer								2516.0	0.982	0.807	0.5545454545454550	0.183		-0.33	1.314	1258.0
25	24	1	no_cs_5seed_ensemble	2026-03-29	completed	FALSE		ML / transformer								2516.0	1.063		0.5938375350140060	0.212		-0.357	1.609	1258.0
27	26	1	dynamic_universe	2026-03-29	completed	FALSE		ML / transformer								2516.0	0.618		0.3447098976109220	0.101		-0.293	0.619	1258.0
